anatolii@MacBook-Pro-Anatolii ~/D/O/h/s/build (main)> sudo dtruss ./parent
Password:
Sorry, try again.
Password:
SYSCALL(args)            = return
779
munmap(0x100838000, 0x8C000)             = 0 0
munmap(0x1008C4000, 0x8000)              = 0 0
munmap(0x1008CC000, 0x4000)              = 0 0
munmap(0x1008D0000, 0x4000)              = 0 0
munmap(0x1008D4000, 0x54000)             = 0 0
open(".\0", 0x100000, 0x0)               = 3 0
fcntl(0x3, 0x32, 0x16F8B32D8)            = 0 0
close(0x3)               = 0 0
fsgetpath(0x16F8B32E8, 0x400, 0x16F8B32C8)               = 62 0
fsgetpath(0x16F8B32F8, 0x400, 0x16F8B32D8)               = 14 0
csrctl(0x0, 0x16F8B36FC, 0x4)            = -1 Err#1
__mac_syscall(0x181648183, 0x2, 0x16F8B3650)             = 0 0
csrctl(0x0, 0x16F8B371C, 0x4)            = -1 Err#1
__mac_syscall(0x1816450D4, 0x5A, 0x16F8B36B0)            = 0 0
sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16F8B2C20, 0x16F8B2C10, 0x181646CE1, 0xD)                 = 0 0
sysctl([CTL_KERN, 136, 0, 0, 0, 0] (2), 0x16F8B2CC8, 0x16F8B2CC0, 0x0, 0x0)              = 0 0
open("/\0", 0x20100000, 0x0)             = 3 0
openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)              = 4 0
dup(0x4, 0x0, 0x0)               = 5 0
fstatat64(0x4, 0x16F8B27A1, 0x16F8B2710)                 = 0 0
openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)             = 6 0
fcntl(0x6, 0x32, 0x16F8B27A0)            = 0 0
dup(0x6, 0x0, 0x0)               = 7 0
dup(0x5, 0x0, 0x0)               = 8 0
close(0x3)               = 0 0
close(0x5)               = 0 0
close(0x4)               = 0 0
close(0x6)               = 0 0
shared_region_check_np(0x16F8B2DD0, 0x0, 0x0)            = 0 0
fsgetpath(0x16F8B3308, 0x400, 0x16F8B3258)               = 82 0
fcntl(0x8, 0x32, 0x16F8B3308)            = 0 0
close(0x8)               = 0 0
close(0x7)               = 0 0
getfsstat64(0x0, 0x0, 0x2)               = 10 0
getfsstat64(0x10055A0D0, 0x54B0, 0x2)            = 10 0
getattrlist("/\0", 0x16F8B3648, 0x16F8B3608)             = 0 0
fsgetpath(0x16F8B3288, 0x400, 0x16F8B3268)               = 82 0
stat64("/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e\0", 0x16F8B36F0, 0x0)                 = 0 0
stat64("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/parent\0", 0x16F8B2A30, 0x0)            = 0 0
open("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/parent\0", 0x0, 0x0)                = 3 0
mmap(0x0, 0xB873, 0x1, 0x40002, 0x3, 0x0)                = 0x1005D8000 0
fcntl(0x3, 0x32, 0x16F8B2B48)            = 0 0
close(0x3)               = 0 0
munmap(0x1005D8000, 0xB873)              = 0 0
stat64("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/parent\0", 0x16F8B2FA0, 0x0)            = 0 0
stat64("/usr/lib/libc++.1.dylib\0", 0x16F8B1F70, 0x0)            = -1 Err#2
stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/libc++.1.dylib\0", 0x16F8B1F20, 0x0)              = -1 Err#2
stat64("/usr/lib/system/libdispatch.dylib\0", 0x16F8AFB50, 0x0)          = -1 Err#2
stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/system/libdispatch.dylib\0", 0x16F8AFB00, 0x0)    = -1 Err#2
stat64("/usr/lib/system/libdispatch.dylib\0", 0x16F8AFB50, 0x0)          = -1 Err#2
stat64("/usr/lib/libSystem.B.dylib\0", 0x16F8B1F70, 0x0)                 = -1 Err#2
stat64("/System/Volumes/Preboot/Cryptexes/OS/usr/lib/libSystem.B.dylib\0", 0x16F8B1F20, 0x0)           = -1 Err#2
open("/dev/dtracehelper\0", 0x2, 0x0)            = 3 0
ioctl(0x3, 0x80086804, 0x16F8B1C68)              = 0 0
close(0x3)               = 0 0
open("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/parent\0", 0x0, 0x0)                = 3 0
__mac_syscall(0x181648183, 0x2, 0x16F8B1260)             = 0 0
map_with_linking_np(0x16F8B0FB0, 0x1, 0x16F8B0FE0)               = 0 0
close(0x3)               = 0 0
mprotect(0x100550000, 0x4000, 0x1)               = 0 0
shared_region_check_np(0xFFFFFFFFFFFFFFFF, 0x0, 0x0)             = 0 0
access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)             = -1 Err#2
bsdthread_register(0x1818E8E24, 0x1818E8E18, 0x4000)             = 1073742303 0
shm_open(0x1817ACF52, 0x0, 0x6F8B2A80)           = 3 0
fstat64(0x3, 0x16F8B1E30, 0x0)           = 0 0
mmap(0x0, 0x4000, 0x1, 0x40001, 0x3, 0x0)                = 0x1005E0000 0
close(0x3)               = 0 0
ioctl(0x2, 0x4004667A, 0x16F8B1EDC)              = 0 0
mprotect(0x1005EC000, 0x4000, 0x0)               = 0 0
mprotect(0x1005F8000, 0x4000, 0x0)               = 0 0
mprotect(0x1005FC000, 0x4000, 0x0)               = 0 0
mprotect(0x100608000, 0x4000, 0x0)               = 0 0
mprotect(0x10060C000, 0x4000, 0x0)               = 0 0
mprotect(0x100618000, 0x4000, 0x0)               = 0 0
mprotect(0x1005E4000, 0x98, 0x1)                 = 0 0
mprotect(0x1005E4000, 0x98, 0x3)                 = 0 0
mprotect(0x1005E4000, 0x98, 0x1)                 = 0 0
mprotect(0x10061C000, 0x4000, 0x1)               = 0 0
mprotect(0x100620000, 0x98, 0x1)                 = 0 0
mprotect(0x100620000, 0x98, 0x3)                 = 0 0
mprotect(0x100620000, 0x98, 0x1)                 = 0 0
mprotect(0x1005E4000, 0x98, 0x3)                 = 0 0
mprotect(0x1005E4000, 0x98, 0x1)                 = 0 0
mprotect(0x10061C000, 0x4000, 0x3)               = 0 0
mprotect(0x10061C000, 0x4000, 0x1)               = 0 0
objc_bp_assist_cfg_np(0x181581800, 0x80000018001C1048, 0x0)              = -1 Err#5
issetugid(0x0, 0x0, 0x0)                 = 0 0
getentropy(0x16F8B1928, 0x20, 0x0)               = 0 0
getpid(0x0, 0x0, 0x0)            = 1058 0
getattrlist("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/parent\0", 0x16F8B1E40, 0x16F8B1E58)                = 0 0
access("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build\0", 0x4, 0x0)             = 0 0
open("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build\0", 0x0, 0x0)               = 3 0
fstat64(0x3, 0x156E042E0, 0x0)           = 0 0
csrctl(0x0, 0x16F8B20BC, 0x4)            = 0 0
fcntl(0x3, 0x32, 0x16F8B1D68)            = 0 0
close(0x3)               = 0 0
open("/Users/anatolii/Desktop/Oper_Syst/hometask_3/src/build/Info.plist\0", 0x0, 0x0)            = -1 Err#2
proc_info(0x2, 0x422, 0xD)               = 64 0
csops_audittoken(0x422, 0x10, 0x16F8B2030)               = 0 0
sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16F8B2370, 0x16F8B2360, 0x184755D3D, 0x15)                = 0 0
sysctl([CTL_KERN, 134, 0, 0, 0, 0] (2), 0x16F8B2418, 0x16F8B2400, 0x0, 0x0)              = 0 0
csops(0x422, 0x0, 0x16F8B24CC)           = 0 0
mprotect(0x100558000, 0x40000, 0x1)              = 0 0
open("com_mem.txt\0", 0x202, 0x1B6)              = 3 0
ftruncate(0x3, 0x400, 0x0)               = 0 0
mmap(0x0, 0x400, 0x3, 0x40001, 0x3, 0x0)                 = 0x100598000 0
close(0x3)               = 0 0
sem_open(0x10054FE90, 0x200, 0x1FF)              = 3 0
fork()           = 1076 0
sem_wait(0x3, 0x0, 0x0)          = 0 0
getrlimit(0x1008, 0x16F8B33C8, 0x0)              = 0 0
fstat64(0x1, 0x16F8B33C0, 0x0)           = 0 0
ioctl(0x1, 0x4004667A, 0x16F8B340C)              = 0 0
write_nocancel(0x1, "779\n\0", 0x4)              = 4 0
munmap(0x100598000, 0x400)               = 0 0
sem_close(0x3, 0x0, 0x0)                 = 0 0
sem_unlink(0x10054FE90, 0x0, 0x0)                = 0 0

anatolii@MacBook-Pro-Anatolii ~/D/O/h/s/build (main)> 
